id,scholarship_id,discipline
462,526,Multidisciplinary
463,527,Multidisciplinary
464,528,Multidisciplinary
465,531,Multidisciplinary
466,532,Multidisciplinary
467,533,Multidisciplinary
468,535,Multidisciplinary
469,536,Multidisciplinary
470,537,Multidisciplinary
471,539,Multidisciplinary
472,540,Multidisciplinary
473,541,Multidisciplinary
474,543,Multidisciplinary
475,546,Multidisciplinary
476,548,Multidisciplinary
477,549,Multidisciplinary
478,556,Multidisciplinary
479,557,Multidisciplinary
480,558,Multidisciplinary
481,559,Multidisciplinary
482,560,Multidisciplinary
483,563,Multidisciplinary
484,565,Multidisciplinary
485,566,Multidisciplinary
486,567,Multidisciplinary
487,568,Multidisciplinary
488,569,Multidisciplinary
489,570,Multidisciplinary
490,573,Multidisciplinary
491,574,Multidisciplinary
492,577,Multidisciplinary
493,578,Multidisciplinary
494,579,Multidisciplinary
495,580,Multidisciplinary
496,582,Multidisciplinary
497,584,Multidisciplinary
498,585,Multidisciplinary
499,586,Multidisciplinary
500,587,Multidisciplinary
501,588,Multidisciplinary
502,589,Multidisciplinary
503,590,Multidisciplinary
504,592,Multidisciplinary
505,593,Multidisciplinary
506,595,Multidisciplinary
507,598,Multidisciplinary
508,600,Multidisciplinary
509,601,Multidisciplinary
510,602,Multidisciplinary
511,603,Multidisciplinary
512,604,Multidisciplinary
513,606,Multidisciplinary
514,609,Multidisciplinary
515,611,Multidisciplinary
516,612,Multidisciplinary
517,615,Multidisciplinary
518,617,Multidisciplinary
519,618,Multidisciplinary
520,619,Multidisciplinary
521,621,Multidisciplinary
522,622,Multidisciplinary
523,623,Multidisciplinary
524,624,Multidisciplinary
525,625,Multidisciplinary
526,628,Multidisciplinary
527,629,Multidisciplinary
528,630,Multidisciplinary
529,631,Multidisciplinary
530,634,Multidisciplinary
531,635,Multidisciplinary
532,637,Multidisciplinary
533,638,Multidisciplinary
534,643,Multidisciplinary
535,644,Multidisciplinary
536,647,Multidisciplinary
537,648,Multidisciplinary
538,649,Multidisciplinary
539,651,Multidisciplinary
540,654,Multidisciplinary
541,656,Multidisciplinary
542,657,Multidisciplinary
543,659,Multidisciplinary
544,660,Multidisciplinary
545,661,Multidisciplinary
546,662,Multidisciplinary
547,663,Multidisciplinary
548,664,Multidisciplinary
549,666,Multidisciplinary
550,667,Multidisciplinary
551,672,Multidisciplinary
552,673,Multidisciplinary
553,674,Multidisciplinary
554,675,Multidisciplinary
555,676,Multidisciplinary
556,677,Multidisciplinary
557,678,Multidisciplinary
558,679,Multidisciplinary
559,681,Multidisciplinary
560,683,Multidisciplinary
561,685,Multidisciplinary
562,686,Multidisciplinary
563,687,Multidisciplinary
564,691,Multidisciplinary
565,692,Multidisciplinary
566,693,Multidisciplinary
567,694,Multidisciplinary
568,695,Multidisciplinary
569,696,Multidisciplinary
570,697,Multidisciplinary
571,698,Multidisciplinary
572,700,Multidisciplinary
573,701,Multidisciplinary
574,702,Multidisciplinary
575,704,Multidisciplinary
576,706,Multidisciplinary
577,709,Multidisciplinary
578,711,Multidisciplinary
579,716,Multidisciplinary
